,spotify,key_and_mode
28833,spotify:track:6WYti2ShUnSMpZWBdhg9Ul,E Major
28834,spotify:track:5W73cqL6wj6LYzdvDBB2xM,D minor
28835,spotify:track:5NMszVlEo186ZsOoHEKXgy,E minor
29046,spotify:track:2hHvHLG9rsviNxMhtT1t89,F Major
29047,spotify:track:4zYkGvVolB1XcSxR0n3yjU,G# Major
29265,spotify:track:2FprpGUHFAdlNV09HRpMAM,G Major
29267,spotify:track:47y9oHaMifkpvvacdfhJGJ,A minor
29268,spotify:track:0Iu4rTr1Hk3a8whfWVGIuW,C minor
29271,spotify:track:4RD0UxmJEYZirF1CGm5jrl,C Major
29447,spotify:track:3qxuzP2r1ZcKWqhoP1MN51,D Major
29449,spotify:track:0ZhlZTGUOzGLhF5Kaa744P,C Major
29450,spotify:track:3t59dFIXkjC2TQXyJwLqWn,A Major
29451,spotify:track:7z9rTRERuVAtecQxxN5EDf,E Major
29452,spotify:track:2M4dNZx3CGOZcobgQljTyd,C Major
29453,spotify:track:2B2ROEusFfJwgshoAQ4uOx,C Major
29454,spotify:track:6T14cYhMjVIGt44Z74FrLi,D minor
29455,spotify:track:52PPDQj4Hz21EXPgvI2UMj,D minor
29456,spotify:track:1UpzQNf0GnAVf2n8zwd3DX,B minor
29457,spotify:track:1wWaoIGb7e9HPHnTMka64k,D Major
29458,spotify:track:57uTfHUGb7o6AgHScdI3Kj,G minor
29459,spotify:track:1ef2hO8gOE5hnb2jJNIMdn,B minor
29461,spotify:track:7oilpOSxTuDTIhLHN6Lw5M,G Major
29467,spotify:track:0qoMf4tt2d1ey2AUaWp5QT,C minor
29469,spotify:track:6Tl8QmsgCYEXb00AHbwkxX,D minor
29470,spotify:track:50sG91heJoKsFJB8rCvnvy,F minor
29471,spotify:track:3i52tuitg6StGBHyU6DZ20,E minor
29472,spotify:track:59zkuqQ8zqQYHgMKEPMRMA,D Major
29473,spotify:track:5zMKLOjYmQI4OHQ8A95g1A,A minor
29474,spotify:track:6RJzLoolPnCcAIxpmugay0,D minor
29475,spotify:track:0LCzYeApzti4qZuCaVHsI8,D minor
29476,spotify:track:6yb5hhhqygUQCrOloBa8Wp,D minor
29477,spotify:track:4Lub1Shjxiniu5ajgFEKn2,C# minor
29478,spotify:track:5mkC3mDZKuAexDT6yt6aUu,D minor
29479,spotify:track:4l4OtX4QJgf3pPjVVTkVQO,D# Major
29480,spotify:track:2XVh4DuxUsTZRd4295voOe,D minor
29526,spotify:track:7EUvh0u3EKamVAx0w4QCIq,C Major
29527,spotify:track:197mlM4yvIgKPHuJ0KltSL,B Major
29528,spotify:track:2JIGoiCqTtV7wgyY66Ydoj,C Major
29529,spotify:track:2b6PdZJFpfptt6BRtNBuOc,C Major
29530,spotify:track:3isBpx02kPJ72jlww7OHM6,C minor
29532,spotify:track:28YUEcNlDjLlWMyjXYCDjt,C Major
29584,spotify:track:7KsBsrubCNcrZLpYPMdvkO,E minor
29586,spotify:track:3mdNfsW93AWuGI4XAn4grG,B minor
29605,spotify:track:670kgUORyRqrRgEL5ltz8d,B Major
29609,spotify:track:4hDgWXyO6xZ1T9J3PfSzfn,A minor
29610,spotify:track:67pQw5nAsyGxKaGLCNNkHs,A minor
29611,spotify:track:4kYjFBbm3ancpBi7Er8dF1,Bb minor
29625,spotify:track:6TuNTKdH654TOy27f0jiJQ,G# minor
29626,spotify:track:3rXT2UWa5RugjCMhGrSXK7,B minor
29627,spotify:track:6D8PTNTUbxP9i0KO6JVUqN,G# minor
29739,spotify:track:6mEU1SoN9ToSOH2yZbYKzu,G Major
29818,spotify:track:5XjTcg0gcZr6aVaM05eemR,D# Major
29819,spotify:track:08yQKbxPpMxw1pMI2Zl4A2,E Major
29844,spotify:track:1pyFFhVkZHzvTfgNqUxvkQ,A Major
29846,spotify:track:4yB8efp6TRsZFajrxNONPU,G# Major
29849,spotify:track:2CNV1MQHyroOr7daVqOU2o,G Major
29851,spotify:track:6qzj9p3p73n3FKplWIB9He,D# Major
29943,spotify:track:0ns8AAwfiYkwlXAsOf2ILf,F minor
30015,spotify:track:5ZAC4ZfFIgm60ZJ8ugNbVd,D minor
30018,spotify:track:5huzUdFCp2D2kvs3E6bLRr,F minor
30023,spotify:track:66xaSqSCKpIrWGS0DpsVo0,D minor
30025,spotify:track:69mE3jD8tm6ywLlpFqQ9T0,D minor
30026,spotify:track:4PPYGN68e4hE0kNAPIAmeb,D minor
30027,spotify:track:56QMwsRCcrI2jZMibifpzl,E minor
30028,spotify:track:41C5xXdLAe4p0VLG4MHW0n,D# minor
30030,spotify:track:1bCiKeX9aq2CFNW0yVWDpV,A minor
30033,spotify:track:0ckCwj4ElUSkZJHEu4hyX8,D minor
30035,spotify:track:0lzamr3y1NcmOj4EhiiRhM,F# Major
30039,spotify:track:4e5bH23HaPCKhZ8kcCcSsq,A Major
30040,spotify:track:0mbNI83kIX3EoOjNu7szk0,F# minor
30042,spotify:track:4ser8IF2r6IF1cc9J5xwBB,B minor
30044,spotify:track:2xURPaKqFjhqk2G7eXZx9W,Bb Major
30045,spotify:track:675qM18Qs3MaRbox8dmPsU,E Major
30047,spotify:track:3Ukp7dktlSPACJamfm0X4M,C Major
30048,spotify:track:6oJUMZmGnKTBEiwmuUX5Sd,E minor
30049,spotify:track:0N0W6Qi1IkRX6jYzAF6t64,F# minor
30050,spotify:track:0euuhBpURtSCaNOR529PNR,E minor
30051,spotify:track:78dXyTxxydThE40KMeoH5p,E Major
30052,spotify:track:3PIjceexSLsHK2QNyYlZRJ,C# Major
30053,spotify:track:56sRjLQIRWnYAx5EO8QU9l,F minor
30055,spotify:track:6f34TMFIcseXbrsKFDUK1o,C Major
30056,spotify:track:0gDcE8vzjHA6j3YBZsZLTH,D# minor
30058,spotify:track:2zqDfhVjNwHAiMVleqCB7P,C minor
30117,spotify:track:1Uvl9OSQ7oJecwLPQOHB4b,B minor
30148,spotify:track:4R5kwc08zOUtmKXex76zXA,E Major
30149,spotify:track:07Ils3jbqOqzX7KHXZRg4s,A Major
30362,spotify:track:47ir2MKPOBlAjLGHvP1p57,C Major
30363,spotify:track:21z2qIlwrlXB87G4D9Morz,C Major
30366,spotify:track:1RFlxKgYuV8XrgKK2bDZ0u,C Major
30369,spotify:track:0bDMIk3heFk6ThjIe2MCGj,A minor
30370,spotify:track:4H9kcjXCWkXYpz3Hmhjx3m,C minor
30518,spotify:track:7ccpd9GMp34zmPw3ppyYhU,D# minor
30519,spotify:track:2h4uirHkBZR00ivi4lTG83,D# minor
30520,spotify:track:6TNoslo7183odjWpvDjYOJ,G# minor
30521,spotify:track:5BLWzbyYOK1zL7tlo54NLJ,G# minor
30544,spotify:track:7GgJv6rhfKqo3ap0wC5GDx,D minor
30838,spotify:track:3ml2hRjo25QJ5Mws9galrN,G# Major
30839,spotify:track:59TqgIMlZwl5jGjyNEvHQJ,D Major
30840,spotify:track:70i28GOHtYwLa6mDWgDMr3,E Major
30842,spotify:track:6d3VpqSRWpVmRUKQQeCz8M,D Major
30846,spotify:track:3ojp1SVQ2Ojc62piWinEje,B Major
30847,spotify:track:1AKenT9kp1Y8g1qg2qHrA9,Bb Major
30848,spotify:track:6f88rjYEHnF52XPHQUKBqM,C Major
30977,spotify:track:4do4f6r15QIYPRWr73H8ST,D# minor
30978,spotify:track:3o8xb6HUBrsIowSRYB31md,G# minor
30979,spotify:track:0CZLpzjVkzJGw9P58JJqQg,D minor
30980,spotify:track:17TGeei6URvlXnt3DiAN12,D minor
30981,spotify:track:72WHaFb2LhxaVk0ZhAm0ne,G minor
30982,spotify:track:25BUVsYoUJ3eqRP22s3FDR,D Major
30983,spotify:track:7ArW8thqYfPbImmwXtlz8Z,C# minor
30984,spotify:track:043DRRNFms2fFABmvX8gwB,C Major
30986,spotify:track:32thC9V7TwbUxe0OAZQvXz,D minor
30989,spotify:track:7kLxCZcWUZwmHPiIc72yYa,E minor
31012,spotify:track:7bkxi1ehETEcFpkZtA0i7r,G minor
31126,spotify:track:0KsDn0LwC7ouLKdvtz0hU7,F Major
31152,spotify:track:6X80MFX1y0TpKoSYjzpl7G,Bb minor
31160,spotify:track:6ulaTUHenblEWLbUN9GjQt,F minor
31201,spotify:track:2OyJs8TD5hVOw0G96DvWdV,D# minor
31202,spotify:track:2pMzK14d6JgqMtFy6icTrE,F# Major
31206,spotify:track:1rUXriVK3parmmptRb8Kk1,E Major
31207,spotify:track:5M6X0uQkeDDGlfN1YkbVp0,A minor
31208,spotify:track:6DkXmjdLioR9vyCBniOUsR,G# Major
31209,spotify:track:5UtezhB0bKVgHC4pBDB2ls,C minor
31218,spotify:track:2sge3TFQHvHCXF1cMd7Ixn,C minor
31220,spotify:track:6UbgUdnbRTQqo1b1mNmbn7,G Major
31221,spotify:track:1nFLqFbAsv7TN403ZhtbgO,D minor
31222,spotify:track:2NoqnYjHNMQyQFpAv9l3F1,B minor
31223,spotify:track:1U83Bmyk3E65xQDpwGSg8u,B minor
31224,spotify:track:4v3KvtSFh18MXDSFD8MSF4,G minor
31227,spotify:track:1dzMzodScge7nFNzCrXvvU,C Major
31231,spotify:track:1rPi2mcxTis3dN8iClbUuE,C Major
31257,spotify:track:7GioGcYp31igeZOQ4PfTQ3,D minor
31345,spotify:track:6UY2toThpry2APqxhQBIQ7,D Major
31346,spotify:track:5gxnoaYxjEa3mms2wnnyG4,F# Major
31357,spotify:track:7Kufhv7OZPxtj1eA77IsS0,D Major
31358,spotify:track:0OpvdizTVCLqKFGxgMOfNJ,B Major
31359,spotify:track:24sdqOdjY5fNUT31X9PPUi,D minor
31362,spotify:track:3IWruT2FnGKhhcGdqDsdvr,C# minor
31363,spotify:track:0QeNLzsU96U3Wx9tarMu6z,D minor
31365,spotify:track:0Fj9eHzKtLgPCGpKsV648D,B minor
31366,spotify:track:1XqkwnIJLrD1wmu88HF2Cy,A minor
31367,spotify:track:3QBIy0SQG5xQ3SRGXfVU20,C minor
31426,spotify:track:6LAHpVAP9MeIEiBmwoMb0D,E minor
31427,spotify:track:4LBaPrmsrV6iRCOxOsrAEC,D Major
31428,spotify:track:0NWXlHQPh9fRNfZpmanW7y,G# minor
31433,spotify:track:08BHYKzI4jkcZOQ1w5NusP,D Major
31435,spotify:track:075ZQmReW5Uc2h8ScqcVup,E minor
31436,spotify:track:2WXD5SejkyE5e9zOPHwX6A,C Major
31437,spotify:track:0zK17wBdYL3R5vIgw8E4mW,E Major
31438,spotify:track:04TRlWvzd2wPw22kNtv77L,B Major
31439,spotify:track:5Hp5CiOjjq23MR00tXBJRe,D# minor
31440,spotify:track:6l9cBFtkD8d0WYBBClNsNB,C# minor
31441,spotify:track:6ODHaf8kFI13AoO6JLNE0S,C# minor
31446,spotify:track:3Y9tpxcp1ky60fVT2kVDSu,B minor
31458,spotify:track:1iTbYzZvFIBilgKjXTGcnA,C minor
31569,spotify:track:0i8gbXHk16cRsvzSc44pka,A minor
31573,spotify:track:4Gh1TaWSKz6OeinWkJVThU,A Major
31577,spotify:track:51a8lVGEdO0SQfCkqdYYui,A minor
31578,spotify:track:7vBwrNdUGCoiVf9aBWEQOw,F# minor
31629,spotify:track:75WhwK9a10XD90tSt28Jck,A minor
31636,spotify:track:2e8moD6eLR9rbdCTarS9ev,A Major
31866,spotify:track:1718RopWJWeMuWg93vdbZz,G minor
31871,spotify:track:17ORoJBeeWZuhm4G4HahYw,C minor
31991,spotify:track:124yCOQUkrfEVhuHECRncT,Bb Major
31992,spotify:track:0jYtz5GME4dO0einHMMTZQ,C Major
31993,spotify:track:6cxczHnmduDOyYXBAgdmdV,A minor
31994,spotify:track:0nvDb9pdMfST9PUJOzpwfL,Bb Major
31995,spotify:track:2mjSfkNdRlQxPnqrMFF7xL,G Major
31999,spotify:track:7pgOHQxqsiF9OVBmApHguY,E minor
32000,spotify:track:1cwfFvCeY9H8HIbANXCPdR,E Major
32001,spotify:track:3XhA119gREA3G3OQjMoYjO,G Major
32002,spotify:track:7IWpUDH0ft9MaULQGrT31e,G minor
32005,spotify:track:7rcVdfH0GG7f2Ojv8NYT5R,D# Major
32006,spotify:track:5PunO0SinQB57PZvlHzIDU,F Major
32007,spotify:track:45uLRS46Mx8UTG7HXlLeq3,G minor
32008,spotify:track:5pQ74oh1XZHKpO8ghI51eb,C minor
32011,spotify:track:5jE8wRosqfI6DjF1uNUCGa,A Major
32012,spotify:track:5r4SQ35q3EkvIGoyHvJX70,C# minor
32013,spotify:track:3aIHXIXrdaF2VmHDODbHk6,G Major
32068,spotify:track:3UDFGWXKYsCUQ6ybZAjvh1,D minor
32177,spotify:track:3NxJmQiNhMeN5X6XGXohqZ,G minor
32365,spotify:track:6ou8Lgpnpq3pfG6vsUW8gq,E Major
32399,spotify:track:0LGTtdVPgvIevb1bmyq1V9,E Major
32575,spotify:track:2OYiY87y1uTOvSTHp89W52,C Major
32577,spotify:track:7jARYTknCFDGV6m9ZFLLvs,C# minor
32581,spotify:track:3Y0ePeAM42cWiEtSK1zGAe,D Major
32611,spotify:track:1f18EbPvEoaLidZBnSSq6A,Bb minor
32613,spotify:track:1C73ALCLTf4IbcM4WpfqwN,F minor
32696,spotify:track:1ZUUZSu764EpMQoQAPJ5s3,D minor
32697,spotify:track:5uezKVAljbGeQATRDSI4Nl,D Major
32698,spotify:track:6EcUs1iRabRXcRlxpjbM30,D minor
32699,spotify:track:156eHsvqeVTfnXNrWvvDcE,C# Major
32700,spotify:track:1awSpHyoIa3ri8PbAuIbrh,E minor
32701,spotify:track:3QoVan3lockkdO6no4822J,E Major
32702,spotify:track:5umeORX8NAiUOSoq8yDFmz,E Major
32703,spotify:track:3HZWvuvAIEC1shSSlia9oH,G Major
32704,spotify:track:0ciK7BYOuHsDKKV0wU0n3M,G# minor
32705,spotify:track:5TKoIwfpkL35rZ2ybuU0El,G Major
32706,spotify:track:1tUoCe3sIqn0PU7kZBe2zY,C# Major
32749,spotify:track:4WLu92FRs61eVXoUtrn2YM,C Major
32751,spotify:track:6e78pXzQIjMCGZJsuz0zxd,A Major
32756,spotify:track:7qtq9EpSRPpPcVZA8PanfG,G minor
32759,spotify:track:4OuxQutyheZ9aU5grtbJIi,E Major
32771,spotify:track:0WoneFIlpATUPdVvq4OsBt,C minor
32773,spotify:track:3P7jLLydZOUF8sLJSFIjym,D minor
32802,spotify:track:7dMkSsnZ3uK00ncYMTmaBm,A Major
32803,spotify:track:5hcJGcJsD3PNq1caDHddof,F minor
32805,spotify:track:57N6hVWxSyJ24OUVr6LXS4,E Major
32806,spotify:track:0qow21ymfaws68tebj7nuU,C Major
32831,spotify:track:0bQAzYc25oeQ59VcrOYyyC,A minor
32844,spotify:track:3rjpY2CbNZA32azI6KFTja,E minor
32869,spotify:track:2xh2IJ5EiiVtjaJ1PAzxdT,D# Major
32898,spotify:track:6zQJJLyKVgKgTcQsYQUBXq,F Major
32899,spotify:track:65BrbqhRKRDFmLWPhLEDJO,A minor
32900,spotify:track:3PecQLtePxUxu7OJSOoo6v,G minor
33124,spotify:track:2uhZWrWUgWo2JmsCS0goOf,G Major
33152,spotify:track:5Xw4bKEFSMAOCASvmNwSrJ,D Major
33171,spotify:track:2w3tGWUfeRVzlcGJQeiO5D,F minor
33184,spotify:track:46wcqX7maPDqLjOIjiQXtV,A Major
33199,spotify:track:6LGBP4ZfXzt1KY0fdNrFN2,G Major
33200,spotify:track:2SOGl3SewmFKAwTELpxPih,D# minor
33234,spotify:track:6A9HynrEmHbCMw3AtaaltK,G minor
33235,spotify:track:5i73Wa5vubggyLJreDd3nQ,D Major
33263,spotify:track:6H8y6diav8uhU60ltWZiK6,C Major
33264,spotify:track:3Qqnm4fNAp4Da8MRYN57eZ,C Major
33276,spotify:track:1PaWmI2JyZj7v221qnCdYr,G Major
33277,spotify:track:65aj5LHMvq01eLh9rHMSpk,A Major
33279,spotify:track:6nVopXUvZEZSYXlXr7Q6f0,D Major
33289,spotify:track:1jMRpY0SQFFRjKjtCc9p2e,C Major
33300,spotify:track:5jyDWK7G1irRWYLzlyT1so,G# Major
33301,spotify:track:0Fq9z75xqwiXcCFbg4H4Ur,A Major
33303,spotify:track:10D99gq1Ix0VgacxyDzGpn,D# Major
33305,spotify:track:7Gh3jRvtnxuPge5QyYVB7X,G Major
33306,spotify:track:1nvVsyvFc1oytSTdxYYzOB,B Major
33307,spotify:track:7j8VI9yhA7ZgZbvDWpc4z5,D Major
33308,spotify:track:29V7V1t43YLBtnSMjZDbdg,C Major
33309,spotify:track:0Equ5rSrgkOHKxyZpGTDuM,F# Major
33310,spotify:track:6fj7SpIYk50WTGK3UCZxp4,C Major
33312,spotify:track:7ePmeTA1b4HzKk9lQRrj3t,Bb Major
33325,spotify:track:3CcgtTQ1GlssBDILeoiHOK,D Major
33449,spotify:track:5aaWWvD0tXLWxTnQRrpBgw,A Major
33454,spotify:track:1Fm3Oxna87vB1VfAVafcKm,G Major
33525,spotify:track:3qwCud6vmmKn3LCI8Xg865,Bb minor
33591,spotify:track:3Bm32CdUi0d0p4O4vdyNrD,B Major
33603,spotify:track:4xW5RwXm8Rzulu4gwTSKpG,F# minor
33615,spotify:track:63WoOCLwmIjI5QPLfP10VV,B minor
33629,spotify:track:4UJ6zzj9M8vWJ67VlcY4vw,E minor
33850,spotify:track:4ctmWvyGFz7sZgephM7GyP,Bb Major
33985,spotify:track:6Bu2juT9fykbJjtjWmsJUL,A Major
33994,spotify:track:3SzkaqtFhxShpYYRLv3bpP,E Major
34082,spotify:track:6qouKlM5oSL26XsRffnL0p,Bb minor
34083,spotify:track:2WTgl57LYzma6odovbq6G8,C Major
34085,spotify:track:5n44PkjcHGWeqrU3hOVH19,C minor
34119,spotify:track:2GPYtziHWlZfVYWeVHJiYG,C minor
34334,spotify:track:2C9Y24sLUxq1OA2hkIJxXf,B Major
34442,spotify:track:4zxJiP7nLErz0c0EDRMHaH,E minor
34449,spotify:track:0lwa02SsxXSLQDgqbVYX85,E minor
34456,spotify:track:3WGmiA2jdG7KMFwHn61XMt,E minor
34500,spotify:track:4mibzk05ILniYFxXdxgnU8,F# Major
34501,spotify:track:2Lu902ngJHCwJ1uakJ5ZOI,Bb Major
34503,spotify:track:7t5Z28qbZjynq7Mj41p5LP,G# Major
34976,spotify:track:0p0EavFFMU2WpJdtHvmGkv,C# Major
34978,spotify:track:244thJAqxfhig8ds1QhSna,G minor
35084,spotify:track:1K7pDGr7hcgtEbT12362mU,G# Major
35086,spotify:track:3WG9LneAwhH2ZXpyeFL8NL,D# Major
35219,spotify:track:0xHR56kiu0XwFsqoqD4Lf6,F Major
35342,spotify:track:70hHsMjZ2Y76WoKX8Yhg7W,F Major
35525,spotify:track:4Ze0dTFTBw3XRTGj3M7EKx,D Major
35532,spotify:track:3DIzyFHTWeBtM9830jSnXX,D minor
35534,spotify:track:38OktgcaXp9PilVtH3Tc9X,E minor
35537,spotify:track:3nF7hPkcbGnbDdL1uB7GnX,F minor
35543,spotify:track:5wIszCobyS82u2hSwysF8x,G Major
35544,spotify:track:7wUxT9HDDxK9gykDJ8Qp8F,A minor
35547,spotify:track:5THGla7UmCHxn4beiC6vRS,E minor
35548,spotify:track:0TQaSFumIH6QKD6XmBr8LJ,E minor
35549,spotify:track:3T1V9ASRwEFnT3BXYinMU4,A minor
35552,spotify:track:7EAYdFivqI1YwbZfbXbBhF,F# minor
35553,spotify:track:69ck8i5N8hUBBp4m0CJuUM,D# Major
35750,spotify:track:6qYtc41SrDgMbXA0TTZQuT,C Major
35754,spotify:track:1wm7tuIwv72WkmmH9BnmO6,C# Major
35773,spotify:track:2y6VHBf18MRyn7kxC7aa9v,F minor
36050,spotify:track:2I06GD0djz5TYSgXFqfQiK,Bb minor
36051,spotify:track:3hh4a0sBhSwYjb1HXdOOVZ,F minor
36052,spotify:track:0S5OA8kBUWoDEL0vh6wfqg,G# minor
36053,spotify:track:4rf96D3CmJj42fZiOsbH1c,B minor
36054,spotify:track:41eYQfA348w41imkh7V74o,Bb minor
36056,spotify:track:02pufD3SY0AV4TzOM5rau0,C minor
36057,spotify:track:1O1bSAs4XsREgmMyGn4PDT,Bb minor
36121,spotify:track:3NOBj8COJSyMd2QuyJWpPe,F# Major
36125,spotify:track:7fgzQ7Df8jP18fQlBrO2M0,E minor
36126,spotify:track:0yvnmVY4izHgKcjYcKyyTd,E Major
36127,spotify:track:31uwMM83p4qNWO9XngVzKJ,C minor
36128,spotify:track:62iPLpbwfPNDoLvie9oKRF,B minor
36130,spotify:track:1KkNTlpeWLgS2fPtJ7yNvR,G Major
36131,spotify:track:3bA9oGSWBp70VgVU5wwqvk,D# minor
36384,spotify:track:5lG7tcy6P9yUY6P7ZLdgAI,F# minor
36385,spotify:track:1RmZNab55cnLPmsVSwBWwG,D minor
36388,spotify:track:47y9oHaMifkpvvacdfhJGJ,A minor
36389,spotify:track:2qCqaceMqthUdmujmJstAI,E minor
36393,spotify:track:6eOHMdz9DNKi9wJIgx8Rgd,Bb minor
36481,spotify:track:4ZJQNn7BGvh4Tb5GA73OzU,A minor
36482,spotify:track:3LLbqqjtDb9C8FI9lWvH35,E minor
36483,spotify:track:0IPaNCA9MGIAa5CEPGIs3e,C Major
36484,spotify:track:5FCKr7H3RPMNJ2QsLw8i6A,G Major
36485,spotify:track:0Ul48Qjhuo89MXmdplETZU,C Major
36486,spotify:track:6TfhBf2RhyHPXrEV7gVm9N,F Major
36487,spotify:track:6wGyfQ3YH49e509sihg9Bh,G minor
36488,spotify:track:21qmx4nq4sYQZ4qY3XVpkE,G Major
36490,spotify:track:2pENYYHi9dtJ8WDoEWcScW,F Major
36572,spotify:track:0uO7neSfExWoGPm0bfEiFL,B Major
36573,spotify:track:02gfdkQdhvmcR2loTFW4Kp,G# Major
36574,spotify:track:4uqzrqSK4uWU1CsT17FxLL,G# Major
36575,spotify:track:7Cj3b6pyEqR2qyPV7yxiIl,B Major
36576,spotify:track:2VyvF8NjcvtkneeQf1LPRo,B Major
36577,spotify:track:48UJPnFEntqFsVx7GHaxP2,Bb Major
36579,spotify:track:5SO9s8CFBRQm2EBmRok6TG,F Major
36580,spotify:track:2OrDZqhXKW901dawVpA7iW,G Major
36737,spotify:track:0q1Ot9eRdZd3zLb9SsdYhP,E minor
36738,spotify:track:0McBajCpVdRkvpV4uARxQ7,A minor
36747,spotify:track:2racvE7Oay8omIUKV6sPuE,A minor
36749,spotify:track:4ZoHkCn6QX7XfZKcaLVrI4,G Major
36751,spotify:track:2KFk5difid6PKPQF6Bp3f9,G minor
36757,spotify:track:3WPziYswxtoYU6mMPx1T8P,C Major
36762,spotify:track:5ajKxu0JdL8stBBHy6owyI,F# Major
36763,spotify:track:4Xxy7ZOiLKHVzCBvHwCeaj,F# Major
36764,spotify:track:1eIZ3NLM9makeC4io5czir,F# Major
36765,spotify:track:4okhk39pYLqsLeUNNISV66,C Major
36768,spotify:track:1pPr4sDQUtabMU2G9TexjL,E minor
36771,spotify:track:6pO853y62kECjd2Wlc52xX,Bb minor
36772,spotify:track:7HPLSX736ZWfSxBuyD7Vml,F# Major
36773,spotify:track:1UJJsZydfOYFBVZCXZXCAm,D# minor
36774,spotify:track:1GiwAcWLiUBEVRG6JbJeIM,D# minor
36777,spotify:track:0UBicTHfuqqn914NKg6FpC,G# minor
37085,spotify:track:5YlYCCiYA4iVm5XXaDu9PQ,C# minor
37087,spotify:track:3oiKf9KRZoEohy2hJVnIZu,G minor
37088,spotify:track:31Eq88om8WyCgHhSAb0Qr2,C Major
37096,spotify:track:6sQcbqKnjuVYKYpfqZBhpX,E minor
37106,spotify:track:0NESn57f6x4aDIQ60mgwV7,B minor
37107,spotify:track:5FYUqdAykafKpz9CqZjOgQ,E Major
37110,spotify:track:1VAthsIc67RoOOszoBo9X4,B minor
37138,spotify:track:2CtA5CugdOE6IpLiNcmTjU,C Major
37368,spotify:track:2FWxM2fI7TT8Ej9EsZM2F1,D# Major
37457,spotify:track:3vEBzNQ9cHEihHRVOtDqib,D Major
37459,spotify:track:1nBnQV6QhuW18npLu1KoMt,A minor
37461,spotify:track:2xPYvPxje9A9WN2dzTxKYY,D Major
37593,spotify:track:1SjmDTnFTkA7ICWpBeYFNm,F# Major
37602,spotify:track:2dEHqkSt0uaupwu2G2zqlm,D# Major
37622,spotify:track:5BB940fTK2HNNFLFo0OiF3,C minor
37623,spotify:track:5n1Unr4q89vgeRD53x6HlF,E Major
37624,spotify:track:07YOhj0WojLMIeG9lZaDE4,C minor
37625,spotify:track:1kPdQo9gOU7gbkLZ9niObj,E Major
37626,spotify:track:0YUb2bQhgXD7SarvyqKL5m,C Major
37627,spotify:track:6Si4jVRanEuxmanpce6M5X,C# Major
37628,spotify:track:3eJDR0ConZKpulJf6PKEIr,D minor
37711,spotify:track:2Ba99ketxc4Q0poWYTzrwv,D minor
37713,spotify:track:6BzXnYwVGwpl1v1DqBrKPr,D minor
37743,spotify:track:4SzHyVoz2Ivtd6oh1VE3M6,D minor
37876,spotify:track:5PT4jSkn19vYMgPhlm75YR,G Major
37956,spotify:track:2RHuBpgfaFqvLUSUfH3e25,G Major
37981,spotify:track:5j4HdHBJjmAdL0JU3TYwfI,Bb Major
37982,spotify:track:6sPLkrTrMVyX5ThbMykn6n,E minor
37983,spotify:track:71LQ5RL28fZmz0tzSLXMQT,F# minor
37984,spotify:track:1RM3ScAoCqxzLePq31k5XZ,E Major
37985,spotify:track:6PxdTnjBNGwnG0xJDr91QD,C Major
38506,spotify:track:769jtPTVVEogFck4DSbyRO,G# minor
38508,spotify:track:6n9qFrZsb8X1zqJYvSm2IK,A Major
38510,spotify:track:1398MDHn8nDQUEQELTrF5a,A Major
38511,spotify:track:2nBWKpKFvdAJYygzHKul2A,F Major
38514,spotify:track:4mjzlNYDnGJkuNzZeE8ULA,D Major
38515,spotify:track:2E7RmuVOWS18n8b66Af8uN,B Major
38548,spotify:track:7IIHtcos1zeiMXZTQeE77f,A Major
38555,spotify:track:7x1Bk4V1PZceE8IguZgwJL,Bb Major
38790,spotify:track:00SQsPqYw9M8weD1aBZdem,Bb minor
38958,spotify:track:1ymx4SZ3drxdYGUzgWK7C2,D# minor
38970,spotify:track:1t4Bf6oHVhe1ES7JKd8pte,C minor
38971,spotify:track:2mmVqBlk6IVePpwaMZIPuQ,E minor
38974,spotify:track:1th8NNhCfows90G2WfDAGU,A minor
38978,spotify:track:2ckmCeWwlUpWXIoT0RQTwI,A minor
38979,spotify:track:3Dt4I24QmYYNJL2sMN0Mjs,A minor
38981,spotify:track:23kTQoeEGTY9NI4MR13ZQr,A minor
38983,spotify:track:1b4SzJCWeCvNobLe9GWikU,A minor
39290,spotify:track:3SCh5WAUGEkED75v4HeLKg,E minor
39330,spotify:track:3fO9ie45ncyue9MtZ2djTo,G Major
39332,spotify:track:4n16UaTuwA2gxafcvUyAlQ,B minor
39342,spotify:track:0cw5bPsX65kB4TLqtl91Pw,Bb Major
39357,spotify:track:5KVj8rltWqiHJiEegoxROZ,Bb minor
39361,spotify:track:3Rfu1qYbO94UaKXU0ylQLf,G# minor
39393,spotify:track:2PblH4RmBASDsOH3A93p5h,C# Major
39514,spotify:track:7eS0cmrmixn1GKaDhW8uU1,B minor
39525,spotify:track:4dI8zI0C22nAOYQwkLm9jO,C Major
39526,spotify:track:2y2T82Ld2EIHVQSqvSU49E,C Major
39527,spotify:track:7l3rLwpXyg1fYLNNqb2PF0,C# Major
39528,spotify:track:4kkTrlX69bOvgUJO9aLp1O,C Major
39529,spotify:track:5YoULOh95Y93HfUIYwzRtB,G Major
39539,spotify:track:5W7jpWdZrYJ7j5aQ3mtehz,E minor
39541,spotify:track:1RppQvUL0uzitlS0NuvMOI,D# minor
39542,spotify:track:72efUgP2SMjDvGVwtDidVK,D minor
39549,spotify:track:072EbkRwlU9FK85P1AugCK,B Major
